25-05-29 00:13:48.943 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.socialsphere.socialsphere.exception.OtpException: Otp verification fail, please try again]
25-05-29 00:14:24.660 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "15.4.1"}, "platform": "Java/Eclipse Adoptium/21.0.1+12-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='ritikrajrr87', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@351026d5, com.mongodb.Jep395RecordCodecProvider@2b7ff592, com.mongodb.KotlinCodecProvider@6a012f00]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.rrj0sls.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-urjy5j-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
25-05-29 00:14:24.666 [cluster-ClusterId{value='683759882ec41c51a9618853', description='null'}-srv-cluster0.rrj0sls.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-smz15lo-shard-00-00.rrj0sls.mongodb.net:27017 to client view of cluster
25-05-29 00:14:24.678 [cluster-ClusterId{value='683759882ec41c51a9618853', description='null'}-srv-cluster0.rrj0sls.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-smz15lo-shard-00-01.rrj0sls.mongodb.net:27017 to client view of cluster
25-05-29 00:14:24.679 [cluster-ClusterId{value='683759882ec41c51a9618853', description='null'}-srv-cluster0.rrj0sls.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017 to client view of cluster
25-05-29 00:14:24.884 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
25-05-29 00:14:24.902 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29997 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-smz15lo-shard-00-00.rrj0sls.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-smz15lo-shard-00-01.rrj0sls.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
25-05-29 00:14:25.003 [cluster-ClusterId{value='683759882ec41c51a9618853', description='null'}-ac-smz15lo-shard-00-01.rrj0sls.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-smz15lo-shard-00-01.rrj0sls.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=159480750, minRoundTripTimeNanos=0, setName='atlas-urjy5j-shard-0', canonicalAddress=ac-smz15lo-shard-00-01.rrj0sls.mongodb.net:27017, hosts=[ac-smz15lo-shard-00-00.rrj0sls.mongodb.net:27017, ac-smz15lo-shard-00-01.rrj0sls.mongodb.net:27017, ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017], passives=[], arbiters=[], primary='ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=243, topologyVersion=TopologyVersion{processId=682b426ed5e81f30b910a0fe, counter=3}, lastWriteDate=Thu May 29 00:14:24 IST 2025, lastUpdateTimeNanos=562459259638791}
25-05-29 00:14:25.003 [cluster-ClusterId{value='683759882ec41c51a9618853', description='null'}-ac-smz15lo-shard-00-00.rrj0sls.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-smz15lo-shard-00-00.rrj0sls.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=158580792, minRoundTripTimeNanos=0, setName='atlas-urjy5j-shard-0', canonicalAddress=ac-smz15lo-shard-00-00.rrj0sls.mongodb.net:27017, hosts=[ac-smz15lo-shard-00-00.rrj0sls.mongodb.net:27017, ac-smz15lo-shard-00-01.rrj0sls.mongodb.net:27017, ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017], passives=[], arbiters=[], primary='ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=243, topologyVersion=TopologyVersion{processId=682b3cf827cc23efeddf103b, counter=4}, lastWriteDate=Thu May 29 00:14:24 IST 2025, lastUpdateTimeNanos=562459259638791}
25-05-29 00:14:25.003 [cluster-ClusterId{value='683759882ec41c51a9618853', description='null'}-ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=140726250, minRoundTripTimeNanos=0, setName='atlas-urjy5j-shard-0', canonicalAddress=ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017, hosts=[ac-smz15lo-shard-00-00.rrj0sls.mongodb.net:27017, ac-smz15lo-shard-00-01.rrj0sls.mongodb.net:27017, ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017], passives=[], arbiters=[], primary='ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000399, setVersion=243, topologyVersion=TopologyVersion{processId=682b40587f14f7b710d1b4b3, counter=6}, lastWriteDate=Thu May 29 00:14:24 IST 2025, lastUpdateTimeNanos=562459259673541}
25-05-29 00:14:25.030 [cluster-ClusterId{value='683759882ec41c51a9618853', description='null'}-ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-smz15lo-shard-00-02.rrj0sls.mongodb.net:27017 with max election id 7fffffff0000000000000399 and max set version 243
25-05-29 00:14:25.403 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
25-05-29 00:14:26.078 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
25-05-29 00:14:26.100 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/user/v1'
25-05-29 00:14:26.110 [restartedMain] INFO  c.s.s.SocialsphereApplication - Started SocialsphereApplication in 2.325 seconds (process running for 4.646)
25-05-29 00:14:30.605 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[localhost].[/user/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
25-05-29 00:14:30.607 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
25-05-29 00:14:30.612 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
25-05-29 00:15:17.341 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.socialsphere.socialsphere.exception.OtpException: Otp verification fail, please try again]
25-05-29 00:16:29.112 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
25-05-29 00:16:29.119 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
